Date,Axis Bank,Coal India,Dr. Reddy,HDFC Bank,ICICI Bank,Infosys,Nestle India,Reliance,TCS,Wipro
12-09-2022,801,212.256378,4261.149902,1493.550049,907.200012,1519.593018,18855.97461,2598.050049,3170.35791,420.963135
13-09-2022,805.549988,212.072998,4252.899902,1513.099976,910,1528.248413,18950.86133,2619.75,3157.062256,421.611542
14-09-2022,803.049988,212.668976,4214.149902,1528.650024,918.099976,1459.450317,18995.69531,2588.350098,3050.551025,415.27713
15-09-2022,790,214.777771,4169,1520.699951,917.599976,1417.310913,18896.53516,2562.699951,3034.860596,414.030212
16-09-2022,789.299988,211.843781,4077.350098,1492.75,909.099976,1362.163574,18295.3125,2499.199951,2941.351318,400.663116
19-09-2022,798.099976,210.789368,4099.149902,1502.599976,899.200012,1375.270264,18654.22656,2502.449951,2961.001709,400.962402
20-09-2022,812.75,210.743546,4216,1520.699951,916.75,1373.539185,18506.50586,2502.850098,2972.244141,403.905151
21-09-2022,806.549988,212.302216,4152.75,1518.349976,915.25,1362.361328,18539.56055,2509.75,2934.019531,399.76535
22-09-2022,789.200012,208.176285,4182.399902,1486,903.400024,1353.161865,18528.0293,2486.100098,2940.080566,396.972229
23-09-2022,768.599976,204.325424,4139.200195,1446.150024,882.25,1350.688843,18386.4707,2439.5,2915.298096,393.381073
26-09-2022,742.599976,197.58638,4127.850098,1426.650024,861.049988,1365.328857,18344.12305,2377.350098,2927.371338,393.829956
27-09-2022,737.5,196.119385,4181.600098,1413.849976,852.549988,1378.485107,18562.17578,2396.25,2949.905518,397.421112
28-09-2022,716.450012,193.277084,4269.700195,1389.550049,849.5,1379.622681,18729.47852,2332.449951,2967.697998,397.07196
29-09-2022,719,196.119385,4360.700195,1382.349976,843.900024,1383.530029,18866.86133,2325.300049,2930.206787,391.834869
30-09-2022,733.200012,194.606552,4335.700195,1421.349976,862,1398.169922,19031.53125,2377.75,2937.294434,393.281311
03-10-2022,722.75,197.082108,4419.649902,1413.199951,848.349976,1378.682983,18880.23242,2369.5,2918.133057,393.530701
04-10-2022,742.799988,204.692169,4413.950195,1453,867.650024,1413.947632,19137.94727,2413.199951,3021.955811,404.503662
06-10-2022,755.099976,214.090118,4397.549805,1437,885.450012,1439.419189,19185.96289,2422.100098,3032.513916,409.142242
07-10-2022,755.700012,210.605988,4376.649902,1430.800049,882.549988,1435.511841,19206.68945,2432.350098,2996.293457,407.09729
10-10-2022,776.849976,210.743546,4380,1415,881.75,1446.838135,19005.93359,2405.800049,3048.742676,410.289429
11-10-2022,785.549988,206.709274,4282.75,1400.650024,870.599976,1408.408203,18340.79102,2357.899902,3000.839355,403.406372
12-10-2022,808.700012,212.806503,4241.149902,1409.800049,868.349976,1413.255127,18614.61328,2375.25,3031.341064,406.947662
13-10-2022,802,215.052841,4254.649902,1393.599976,853.599976,1404.550293,18652.63672,2382.800049,3033.833984,378.168549
14-10-2022,800.5,216.703217,4310.799805,1439,870.25,1458.312744,18816.01367,2370.699951,3029.776611,376.372955
17-10-2022,814.150024,218.216064,4335.200195,1446.550049,885.200012,1473.842896,18808.21094,2408.75,3049.967773,374.178375
18-10-2022,816.349976,221.60849,4356.549805,1443.849976,896.900024,1487.444336,19273.14258,2451.25,3082.263672,378.368042
19-10-2022,829.849976,218.399429,4316.899902,1458.650024,892.099976,1469.391602,19622.31445,2493.899902,3059.867432,377.121124
20-10-2022,825.849976,220.966675,4349.049805,1448.800049,888.650024,1484.674683,19942.41016,2500.600098,3094.613525,380.562653
21-10-2022,900.400024,218.857864,4330.799805,1438.599976,907.150024,1484.278931,20174.875,2471.600098,3075.108398,381.610046
24-10-2022,909.450012,220.50824,4377.5,1461.050049,926.299988,1501.441406,20751.54492,2479.850098,3098.926025,383.754791
25-10-2022,902.849976,220.003952,4442.350098,1450.900024,925.049988,1509.800049,20162.40039,2441.550049,3099.318115,383.704895
27-10-2022,915.150024,220.874985,4491.200195,1454.400024,924.400024,1523.949951,20014.13281,2451.149902,3094.711426,381.709808
28-10-2022,903.049988,224.084045,4459.950195,1458.699951,907.849976,1513.25,20162.44922,2526.149902,3100.445313,382.30835
31-10-2022,906,225.505203,4433.700195,1496.699951,908.700012,1537.650024,20363.40039,2549.600098,3129.751465,385.60022
01-11-2022,871.75,225.230133,4535.299805,1513.25,908.599976,1573,20589.94922,2529.850098,3194.980225,391.435852
02-11-2022,863.549988,225.367676,4555.649902,1514.199951,904.700012,1553.300049,20387.34961,2545.649902,3177.337646,392.982056
03-11-2022,864.049988,225.734421,4589.899902,1507.550049,908.650024,1530.75,20423.44922,2555.149902,3143.081543,387.545441
04-11-2022,868.099976,225.596893,4525.100098,1497.150024,905.299988,1514,20425.30078,2592.75,3153.52002,389.590393
07-11-2022,872.950012,228.805954,4485.450195,1508.800049,917.5,1507.449951,20480.25,2606.600098,3169.496582,390.538086
09-11-2022,873.700012,234.536407,4534.899902,1508.349976,910.5,1511.199951,20319.90039,2604,3152.197021,389.989441
10-11-2022,843.700012,232.519302,4549.450195,1524.75,910.700012,1501.949951,20175.30078,2572.5,3142.003418,387.944458
11-11-2022,850.700012,232.198395,4539.450195,1611.150024,906.549988,1570.099976,20322.5,2631.800049,3250.113525,398.717926
14-11-2022,851,226.651291,4363.649902,1615.050049,894.950012,1585.300049,20065.19922,2619.050049,3269.275391,395.575653
15-11-2022,858.650024,226.602493,4433.700195,1619,911.700012,1594,20055.55078,2607.300049,3266.433105,396.174194
